Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
SatNov 8,1:30am,USD,low,Consumer Credit m/m,13.1B,10.4B,3.1B
Sat Nov 08,,USD,high,FOMC Member Miran Speaks,,,
Sat Nov 08,2:31am,USD,high,FOMC Financial Stability Report,,,
